n344454	NONHSAT140501.2
n344457	NONHSAT049673.2
n344460	NONHSAT119864.2
n344461	NONHSAT070239.2
n344462	NONHSAT133286.2
n344478	NONHSAT039751.2
n344490	NONHSAT056108.2
n344500	NONHSAT137990.2
n344514	NONHSAT001463.2
n344517	NONHSAT010722.2
n344530	NA
n344531	NONHSAT027516.2
n344534	NA
n344538	NONHSAT013639.2
n344540	NONHSAT138966.2
n344541	NONHSAT032056.2
n344547	NONHSAT137571.2
n344552	NONHSAT040980.2
n344559	NONHSAT055363.2
n344563	NA
n344569	NONHSAT081842.2
n344574	NONHSAT054162.2
n344585	NONHSAT029869.2
n344588	NONHSAT082414.2
n344589	NONHSAT000786.2
n344598	NONHSAT143568.2
n344601	NONHSAT057058.2
n344604	NONHSAT137607.2
n344610	NONHSAT012889.2
n344618	NA
n344628	NONHSAT075170.2
n344646	NONHSAT138537.2
n344649	NONHSAT102797.2
n344651	NONHSAT073620.2
n344652	NONHSAT115288.2
n344656	NONHSAT084534.2
n344658	NONHSAT120418.2
n344659	NONHSAT001511.2
n344664	NONHSAT063977.2
n344677	NONHSAT129049.2
n344678	NONHSAT113497.2
n344687	NA
n344691	NONHSAT033797.2
n344693	NONHSAT095799.2
n344695	NONHSAT129264.2
n344699	NONHSAT054253.2
n344705	NONHSAT121098.2
n344709	NONHSAT129017.2
n344720	NA
n344721	NONHSAT120000.2
n344724	NONHSAT031461.2
n344736	NONHSAT136803.2
n344741	NONHSAT122815.2
n344745	NONHSAT142612.2
n344748	NA
n344749	NONHSAT074964.2
n344755	NONHSAT119880.2
n344758	NA
n344768	NONHSAT138547.2
n344772	NONHSAT130429.2
n344775	NA
n344778	NONHSAT041921.2
n344791	NONHSAT047863.2
n344793	NONHSAT100798.2
n344798	NONHSAT084423.2
n344800	NONHSAT043887.2
n344803	NONHSAT063988.2
n344808	NONHSAT033822.2
n344810	NONHSAT094182.2
n344814	NA
n344818	NONHSAT125946.2
n344848	NONHSAT103600.2
n344860	NA
n344871	NONHSAT112119.2
n344872	NONHSAT112843.2
n344875	NONHSAT114476.2
n344880	NONHSAT115734.2
n344885	NONHSAT107262.2
n344894	NONHSAT108627.2
n344907	NONHSAT113257.2
n344916	NONHSAT113844.2
n344924	NONHSAT114816.2
n344930	NONHSAT115568.2
n344931	NONHSAT115641.2
n344934	NONHSAT116067.2
n344960	NONHSAT121718.2
n344963	NONHSAT122593.2
n344965	NONHSAT122633.2
n344971	NONHSAT123136.2
n344975	NONHSAT123693.2
n344986	NONHSAT124614.2
n344995	NONHSAT125784.2
n344996	NONHSAT125847.2
n345012	NONHSAT127805.2
n345014	NONHSAT127814.2
n345032	NONHSAT129417.2
n345040	NONHSAT130010.2
n345041	NONHSAT130074.2
n345045	NONHSAT130404.2
n345059	NONHSAT134003.2
n345077	NONHSAT136354.2
n345091	NONHSAT137675.2
n345101	NA
n345105	NONHSAT010896.2
n345110	NONHSAT011934.2
n345117	NONHSAT013550.2
n345138	NONHSAT018076.2
n345139	NONHSAT018227.2
n345161	NONHSAT028908.2
n345168	NONHSAT026280.2
n345170	NONHSAT027206.2
n345175	NA
n345182	NONHSAT029094.2
n345185	NONHSAT029652.2
n345186	NONHSAT029810.2
n345221	NONHSAT033355.2
n345222	NONHSAT033428.2
n345232	NONHSAT034695.2
n345246	NONHSAT037636.2
n345281	NONHSAT039453.2
n345288	NONHSAT040285.2
n345298	NA
n345304	NONHSAT042412.2
n345310	NONHSAT047079.2
n345323	NONHSAT143557.2
n345337	NONHSAT143945.2
n345373	NA
n345385	NONHSAT079374.2
n345386	NA
n345395	NONHSAT081259.2
n345405	NA
n345417	NONHSAT008654.2
n345421	NONHSAT008565.2
n345423	NONHSAT009144.2
n345424	NONHSAT009806.2
n345433	NONHSAT002153.2
n345437	NONHSAT002344.2
n345449	NONHSAT004374.2
n345455	NONHSAT005306.2
n345457	NONHSAT005482.2
n345458	NONHSAT005499.2
n345473	NONHSAT007706.2
n345474	NONHSAT007719.2
n345516	NONHSAT069957.2
n345527	NONHSAT070916.2
n345544	NONHSAT074905.2
n345574	NONHSAT077414.2
n345594	NONHSAT091273.2
n345618	NONHSAT099020.2
n345623	NONHSAT094799.2
n345630	NONHSAT095797.2
n345636	NONHSAT096686.2
n345637	NA
n345641	NONHSAT096929.2
n345648	NONHSAT098084.2
n345653	NONHSAT098243.2
n345668	NONHSAT101110.2
n345670	NONHSAT101354.2
n345685	NA
n345686	NONHSAT001945.2
n345694	NA
n345746	NONHSAT034667.2
n345751	NONHSAT015967.2
n345765	NONHSAT035599.2
n345777	NONHSAT119808.2
n345781	NONHSAT052812.2
n345800	NA
n345807	NA
n345823	NONHSAT071835.2
n345852	NA
n345873	NONHSAT000539.2
n345881	NONHSAT030457.2
n345885	NA
n345886	NONHSAT030458.2
n345912	NA
n345915	NONHSAT138545.2
n345934	NA
n345935	NONHSAT081089.2
n345957	NONHSAT115733.2
n345971	NA
n345975	NA
n345981	NA
n346007	NONHSAT073901.2
n346026	NONHSAT094617.2
n346031	NA
n346033	NONHSAT083698.2
n346040	NA
n346051	NONHSAT009976.2
n346071	NA
n346082	NONHSAT068119.2
n346094	NA
n346101	NONHSAT138147.2
n346109	NONHSAT131159.2
n346110	NONHSAT123221.2
n346126	NA
n346128	NA
n346137	NONHSAT108375.2
n346143	NONHSAT100053.2
n346167	NONHSAT113140.2
n346186	NA
n346188	NONHSAT118799.2
n346189	NONHSAT131958.2
n346200	NA
n346238	NA
n346288	NONHSAT100968.2
n346296	NONHSAT102743.2
n346349	NONHSAT072363.2
n346361	NONHSAT132849.2
n346385	NA
n346392	NONHSAT129647.2
n346398	NONHSAT135352.2
n346404	NONHSAT134532.2
n346426	NONHSAT052795.2
n346430	NONHSAT122460.2
n346464	NA
n346465	NA
n346481	NONHSAT081613.2
n346492	NA
n346523	NONHSAT034532.2
n346528	NA
n346533	NONHSAT095521.2
n346535	NONHSAT142136.2
n346537	NONHSAT033970.2
n346545	NONHSAT040814.2
n346551	NA
n346558	NA
n363356	NONHSAT008664.2
n363484	NONHSAT007159.2
n363566	NONHSAT000204.2
n363690	NONHSAT006319.2
n363765	NONHSAT010174.2
n363904	NONHSAT004624.2
n363933	NONHSAT005319.2
n364139	NONHSAT004185.2
n364180	NA
n364511	NA
n364544	NONHSAT074047.2
n364548	NONHSAT075169.2
n364686	NONHSAT071670.2
n364760	NA
n364975	NONHSAT073831.2
n365451	NONHSAT070922.2
n365664	NONHSAT069972.2
n365737	NONHSAT075859.2
n366279	NONHSAT091035.2
n366290	NONHSAT091419.2
n366714	NONHSAT091241.2
n367417	NONHSAT099046.2
n367422	NONHSAT099241.2
n367640	NONHSAT101254.2
n367646	NONHSAT100290.2
n367651	NONHSAT100800.2
n367775	NA
n367887	NONHSAT101044.2
n368044	NA
n368098	NONHSAT102285.2
n368106	NA
n368164	NONHSAT104294.2
n368267	NA
n368610	NONHSAT113139.2
n368637	NONHSAT108471.2
n368764	NONHSAT114823.2
n368786	NA
n369093	NONHSAT114452.2
n369419	NONHSAT115380.2
n369512	NONHSAT119518.2
n369876	NONHSAT124334.2
n369879	NONHSAT124335.2
n369984	NONHSAT121795.2
n370058	NONHSAT120402.2
n370180	NONHSAT124770.2
n370205	NONHSAT129073.2
n370290	NONHSAT126489.2
n370423	NA
n370540	NONHSAT128189.2
n370574	NONHSAT129026.2
n370618	NONHSAT125791.2
n370698	NONHSAT129020.2
n370709	NA
n370880	NONHSAT134894.2
n370995	NONHSAT133786.2
n371241	NONHSAT134601.2
n371301	NONHSAT136839.2
n371524	NONHSAT138143.2
n371665	NA
n371667	NA
n371673	NONHSAT016414.2
n371680	NA
n371910	NONHSAT015792.2
n372019	NONHSAT013469.2
n372080	NONHSAT016408.2
n372205	NA
n372291	NONHSAT013470.2
n372317	NONHSAT016378.2
n372578	NONHSAT023366.2
n372674	NONHSAT018082.2
n372685	NONHSAT018481.2
n372815	NONHSAT018229.2
n372935	NONHSAT030759.2
n372953	NONHSAT031489.2
n372993	NONHSAT027475.2
n373790	NONHSAT034484.2
n373804	NA
n373805	NONHSAT034596.2
n374520	NONHSAT042416.2
n374530	NONHSAT043980.2
n374534	NONHSAT048175.2
n374607	NONHSAT041927.2
n374652	NONHSAT047248.2
n374660	NA
n375209	NA
n375266	NONHSAT142607.2
n375270	NA
n375473	NONHSAT145455.2
n375477	NONHSAT054915.2
n375478	NONHSAT054916.2
n375522	NONHSAT053069.2
n375603	NA
n375715	NONHSAT053518.2
n375857	NONHSAT056826.2
n376049	NONHSAT059173.2
n376189	NONHSAT063996.2
n376203	NA
n376215	NA
n376314	NONHSAT066677.2
n376366	NONHSAT063875.2
n376381	NONHSAT063972.2
n376398	NONHSAT063997.2
n376411	NONHSAT064215.2
n376420	NONHSAT066638.2
n376433	NONHSAT068391.2
n376473	NONHSAT068218.2
n376504	NONHSAT068290.2
n376590	NA
n376779	NONHSAT078075.2
n376985	NONHSAT082933.2
n377015	NONHSAT081240.2
n377137	NONHSAT081217.2
n377214	NONHSAT081608.2
n377236	NONHSAT082426.2
n377254	NONHSAT081046.2
n377310	NONHSAT084838.2
n377360	NONHSAT084833.2
n377506	NONHSAT087199.2
n377639	NONHSAT033794.2
n377656	NONHSAT099430.2
n377660	NONHSAT001063.2
n377664	NONHSAT133402.2
n377665	NA
n377669	NONHSAT033606.2
n377670	NA
n377672	NONHSAT072144.2
n377677	NA
n377680	NA
n377683	NONHSAT040802.2
n377717	NA
n377720	NA
n377740	NONHSAT059878.2
n377766	NONHSAT101269.2
n377769	NONHSAT125130.2
n377788	NONHSAT072143.2
n377799	NONHSAT007667.2
n377818	NA
n377827	NONHSAT001159.2
n377834	NONHSAT103210.2
n377837	NONHSAT108624.2
n377873	NONHSAT083038.2
n377897	NONHSAT008275.2
n377912	NONHSAT033790.2
n377932	NONHSAT007691.2
n377986	NONHSAT113313.2
n378002	NONHSAT135078.2
n378068	NONHSAT007698.2
n378094	NONHSAT033804.2
n378100	NONHSAT083043.2
n378107	NONHSAT007673.2
n378108	NONHSAT007680.2
n378125	NA
n378252	NA
n378353	NONHSAT113863.2
n378366	NONHSAT007664.2
n378390	NONHSAT074544.2
n378414	NONHSAT123384.2
n378503	NONHSAT075752.2
n378520	NONHSAT084621.2
n378555	NA
n378567	NONHSAT033791.2
n378572	NONHSAT075169.2
n378710	NA
n378714	NONHSAT064003.2
n378726	NONHSAT116016.2
n378782	NA
n378866	NA
n378912	NONHSAT097252.2
n378914	NONHSAT123385.2
n379023	NONHSAT116018.2
n379095	NONHSAT134524.2
n379107	NONHSAT145960.2
n379110	NONHSAT124073.2
n379114	NONHSAT001968.2
n379122	NONHSAT090178.2
n379132	NONHSAT001969.2
n379167	NONHSAT145965.2
n379212	NONHSAT145961.2
n379281	NA
n379293	NONHSAT145950.2
n379304	NONHSAT096694.2
n379340	NA
n379342	NONHSAT047236.2
n379406	NONHSAT052808.2
n379442	NONHSAT066046.2
n379454	NONHSAT067541.2
n379459	NONHSAT039454.2
n379466	NA
n379574	NONHSAT098272.2
n379581	NONHSAT016118.2
n379593	NONHSAT103651.2
n379622	NONHSAT052826.2
n379630	NONHSAT127056.2
n379676	NA
n379717	NONHSAT102802.2
n379841	NONHSAT028579.2
n379927	NONHSAT064038.2
n379950	NA
n379972	NONHSAT120232.2
n380027	NONHSAT094933.2
n380031	NONHSAT098196.2
n380064	NONHSAT032437.2
n380158	NONHSAT127058.2
n380175	NA
n380177	NONHSAT129051.2
n380399	NONHSAT001062.2
n380489	NONHSAT021853.2
n380693	NONHSAT021854.2
n380707	NONHSAT021840.2
n380806	NONHSAT028415.2
n381011	NONHSAT027801.2
n381022	NA
n381041	NONHSAT000416.2
n381057	NONHSAT001050.2
n381078	NONHSAT001461.2
n381159	NA
n381184	NONHSAT005198.2
n381216	NONHSAT005727.2
n381231	NONHSAT005809.2
n381268	NA
n381272	NONHSAT007235.2
n381280	NONHSAT007429.2
n381323	NA
n381344	NONHSAT009594.2
n381351	NONHSAT009703.2
n381409	NONHSAT011652.2
n381414	NONHSAT011868.2
n381417	NA
n381430	NONHSAT012887.2
n381443	NONHSAT013096.2
n381464	NONHSAT013600.2
n381521	NONHSAT015415.2
n381557	NONHSAT016441.2
n381559	NA
n381568	NA
n381585	NONHSAT017355.2
n381586	NONHSAT017356.2
n381616	NA
n381623	NONHSAT018688.2
n381720	NONHSAT021887.2
n381754	NONHSAT023656.2
n381773	NONHSAT024258.2
n381786	NA
n381789	NONHSAT024787.2
n381793	NONHSAT024858.2
n381805	NONHSAT025216.2
n381846	NONHSAT027013.2
n381878	NONHSAT028938.2
n381885	NONHSAT029248.2
n381912	NONHSAT030018.2
n381942	NA
n381970	NA
n381981	NONHSAT032361.2
n382000	NA
n382014	NONHSAT033305.2
n382015	NONHSAT033364.2
n382037	NONHSAT033800.2
n382059	NA
n382060	NONHSAT033967.2
n382077	NONHSAT034312.2
n382094	NONHSAT034878.2
n382131	NA
n382181	NONHSAT037814.2
n382184	NONHSAT037890.2
n382220	NONHSAT039455.2
n382231	NONHSAT039675.2
n382276	NONHSAT040062.2
n382286	NONHSAT040375.2
n382312	NONHSAT040781.2
n382328	NONHSAT040969.2
n382330	NONHSAT040974.2
n382487	NONHSAT041505.2
n382495	NA
n382502	NA
n382511	NONHSAT042032.2
n382553	NONHSAT044134.2
n382643	NONHSAT047364.2
n382687	NONHSAT047869.2
n382702	NONHSAT048052.2
n382918	NA
n382930	NONHSAT141041.2
n382933	NONHSAT141063.2
n382975	NA
n382982	NA
n382989	NONHSAT142400.2
n383019	NONHSAT144081.2
n383025	NONHSAT144315.2
n383032	NA
n383057	NONHSAT145510.2
n383076	NONHSAT146362.2
n383077	NA
n383080	NA
n383172	NA
n383179	NONHSAT053816.2
n383184	NONHSAT053931.2
n383186	NONHSAT054170.2
n383190	NONHSAT054306.2
n383209	NA
n383211	NONHSAT055267.2
n383218	NONHSAT055460.2
n383231	NONHSAT056040.2
n383233	NONHSAT056047.2
n383234	NONHSAT056048.2
n383236	NONHSAT056107.2
n383327	NA
n383509	NONHSAT066144.2
n383550	NONHSAT067569.2
n383551	NONHSAT067602.2
n383556	NONHSAT067968.2
n383560	NONHSAT068156.2
n383565	NA
n383567	NONHSAT068494.2
n383634	NONHSAT070699.2
n383639	NONHSAT070902.2
n383693	NONHSAT072980.2
n383714	NONHSAT073622.2
n383747	NA
n383794	NONHSAT076543.2
n383802	NONHSAT076682.2
n383805	NONHSAT076793.2
n383862	NONHSAT078782.2
n384026	NONHSAT082353.2
n384073	NONHSAT083172.2
n384121	NONHSAT084422.2
n384140	NONHSAT084887.2
n384175	NONHSAT086890.2
n384202	NONHSAT087600.2
n384209	NONHSAT087761.2
n384210	NONHSAT087772.2
n384212	NONHSAT087778.2
n384213	NONHSAT087871.2
n384215	NA
n384227	NA
n384228	NONHSAT088370.2
n384233	NONHSAT088639.2
n384234	NONHSAT088657.2
n384270	NONHSAT090407.2
n384320	NONHSAT092040.2
n384325	NONHSAT092080.2
n384353	NA
n384393	NONHSAT094312.2
n384395	NA
n384422	NA
n384430	NONHSAT095714.2
n384480	NONHSAT097386.2
n384484	NONHSAT097499.2
n384496	NONHSAT097985.2
n384558	NONHSAT099505.2
n384573	NONHSAT099872.2
n384605	NA
n384624	NA
n384625	NONHSAT101022.2
n384643	NONHSAT101498.2
n384655	NA
n384684	NONHSAT102088.2
n384686	NA
n384690	NONHSAT102442.2
n384703	NONHSAT102788.2
n384720	NONHSAT103133.2
n384738	NONHSAT103885.2
n384742	NA
n384754	NONHSAT104512.2
n384755	NONHSAT104556.2
n384757	NONHSAT104637.2
n384770	NONHSAT104991.2
n384858	NONHSAT108615.2
n384927	NONHSAT112124.2
n384936	NONHSAT112849.2
n384996	NONHSAT114444.2
n385039	NA
n385059	NA
n385102	NONHSAT119809.2
n385106	NA
n385119	NA
n385123	NONHSAT120007.2
n385130	NONHSAT120080.2
n385139	NA
n385145	NONHSAT120415.2
n385150	NA
n385185	NONHSAT121005.2
n385187	NONHSAT121038.2
n385188	NA
n385202	NA
n385203	NA
n385210	NA
n385223	NONHSAT121615.2
n385229	NONHSAT121765.2
n385240	NONHSAT122160.2
n385245	NA
n385256	NONHSAT122625.2
n385261	NONHSAT122865.2
n385272	NONHSAT123162.2
n385273	NA
n385274	NA
n385318	NONHSAT124481.2
n385370	NONHSAT125622.2
n385425	NA
n385468	NA
n385480	NA
n385488	NA
n385511	NA
n385512	NONHSAT131072.2
n385519	NONHSAT131173.2
n385632	NONHSAT133346.2
n385638	NA
n385667	NONHSAT133800.2
n385685	NONHSAT134595.2
n385688	NONHSAT134698.2
n385725	NA
n385727	NA
n385729	NA
n385730	NONHSAT135851.2
n385787	NONHSAT137627.2
n385806	NONHSAT138089.2
n385812	NONHSAT138255.2
n385813	NA
n385822	NONHSAT138539.2
n385849	NONHSAT139215.2
n385914	NA
n385951	NONHSAT005942.2
n386025	NONHSAT024449.2
n386034	NA
n386067	NA
n386100	NA
n386179	NA
n386193	NONHSAT057067.2
n386194	NA
n386209	NA
n386231	NA
n386260	NONHSAT074193.2
n386315	NA
n386328	NONHSAT087925.2
n386332	NONHSAT089678.2
n386343	NONHSAT091524.2
n386353	NA
n386362	NONHSAT097093.2
n386448	NA
n386480	NONHSAT128188.2
n386492	NA
n386501	NA
n386512	NONHSAT132848.2
n386524	NONHSAT133997.2
n386538	NA
n386539	NONHSAT137589.2
n386571	NONHSAT002955.2
n386592	NA
n386605	NONHSAT009463.2
n386628	NA
n386641	NA
n386655	NA
n386682	NA
n386687	NONHSAT023031.2
n386735	NONHSAT034665.2
n386770	NA
n386856	NONHSAT046901.2
n386976	NA
n386977	NONHSAT145765.2
n387010	NONHSAT053844.2
n387016	NA
n387017	NONHSAT054133.2
n387024	NA
n387060	NONHSAT060501.2
n387063	NONHSAT060973.2
n387106	NONHSAT068277.2
n387116	NONHSAT072081.2
n387142	NONHSAT073821.2
n387210	NA
n387265	NA
n387266	NONHSAT087418.2
n387393	NONHSAT108289.2
n387397	NA
n387402	NONHSAT108992.2
n387531	NONHSAT106528.2
n387634	NONHSAT121387.2
n387641	NA
n387674	NA
n387706	NA
n387718	NA
n387719	NONHSAT135582.2
n387722	NONHSAT135822.2
n405299	NA
n405399	NA
n405416	NA
n405417	NA
n405438	NA
n405439	NA
n405440	NA
n405455	NA
n405460	NA
n405468	NA
n405477	NA
n405484	NA
n405504	NONHSAT094546.2
n405556	NONHSAT033777.2
n405558	NA
n405566	NONHSAT108367.2
n405569	NA
n405607	NONHSAT113914.2
n405614	NA
n405620	NA
n405639	NA
n405665	NA
n405705	NONHSAT054126.2
n405795	NA
n405884	NA
n405893	NA
n405912	NA
n405951	NA
n405979	NA
n405993	NA
n406117	NA
n406134	NA
n406138	NONHSAT122540.2
n406144	NONHSAT124573.2
n406145	NA
n406154	NA
n406194	NA
n406201	NA
n406225	NONHSAT079300.2
n406246	NA
n406274	NONHSAT002564.2
n406336	NA
n406346	NONHSAT052790.2
n406409	NA
n406416	NA
n406422	NONHSAT118886.2
n406442	NONHSAT042264.2
n406444	NA
n406478	NONHSAT133392.2
n406480	NA
n406488	NONHSAT035954.2
n406847	NONHSAT000157.2
n406866	NA
n406883	NONHSAT123220.2
n406900	NA
n406914	NONHSAT090901.2
n406931	NONHSAT134905.2
n406992	NONHSAT042406.2
n407050	NONHSAT135576.2
n407071	NONHSAT058916.2
n407073	NONHSAT002658.2
n407108	NA
n407114	NONHSAT091509.2
n407125	NONHSAT131104.2
n407163	NA
n407210	NA
n407211	NONHSAT134613.2
n407257	NA
n407311	NA
n407312	NONHSAT039445.2
n407400	NONHSAT056426.2
n407410	NA
n407413	NA
n407434	NA
n407441	NONHSAT055307.2
n407447	NA
n407464	NONHSAT105448.2
n407465	NA
n407466	NA
n407520	NA
n407534	NONHSAT004284.2
n407550	NONHSAT113544.2
n407573	NA
n407588	NONHSAT083616.2
n407602	NA
n407659	NA
n407661	NA
n407669	NA
n407685	NA
n407721	NA
n407761	NONHSAT016752.2
n407851	NONHSAT134684.2
n407887	NONHSAT079548.2
n407922	NONHSAT028145.2
n407963	NA
n407992	NA
n408051	NA
n408055	NA
n408075	NA
n408108	NA
n408116	NA
n408119	NA
n408131	NA
n408220	NA
n408241	NA
n408277	NONHSAT101769.2
n408292	NONHSAT144857.2
n408342	NONHSAT121616.2
n408353	NONHSAT037119.2
n408354	NONHSAT037120.2
n408895	NA
n409115	NA
n409143	NA
n409149	NA
n409172	NA
n409179	NONHSAT094687.2
n409180	NONHSAT066662.2
n409250	NONHSAT101970.2
n409282	NA
n409305	NONHSAT074679.2
n409406	NA
n409438	NA
n409499	NONHSAT106932.2
n409519	NONHSAT148015.2
n409540	NA
n409618	NA
n409625	NA
n409672	NA
n409673	NA
n409674	NONHSAT097185.2
n409683	NA
n409707	NONHSAT114467.2
n409709	NONHSAT114468.2
n410038	NONHSAT028690.2
n410042	NONHSAT144573.2
n410063	NONHSAT119987.2
n410066	NONHSAT066004.2
n410072	NA
n410105	NONHSAT104073.2
n410108	NONHSAT017922.2
n410143	NONHSAT131038.2
n410149	NA
n410152	NA
n410153	NA
n410161	NA
n410167	NA
n410188	NONHSAT132851.2
n410189	NA
n410191	NA
n410249	NONHSAT107271.2
n410453	NONHSAT098048.2
n410457	NONHSAT049670.2
n410462	NA
n410487	NA
n410523	NONHSAT101154.2
n410547	NA
n410565	NA
n410630	NA
n410638	NONHSAT070107.2
n410671	NA
n410722	NA
n410799	NONHSAT041381.2
n410904	NONHSAT119664.2
n411118	NA
n411142	NONHSAT035663.2
n411511	NONHSAT122589.2
n411597	NONHSAT047178.2
n411678	NA
n411680	NA
n411681	NA
n411694	NA
n411720	NA
