ncIdentifier,prIdentifier,interaction
n386623,Q07955,1
n407114,Q01844,1
n408119,Q9UL18,1
n408119,Q9UKV8,1
n408119,Q9H9G7,1
n408119,Q9HCK5,1
n379442,Q15717,1
n387060,B7ZL34,1
n385240,Q9NZI8,1
n376979,P26599,1
n410189,O00425,1
n382231,P35637,1
n344775,P35637,1
n407195,Q9UL18,1
n407195,Q9UKV8,1
n407195,Q9H9G7,1
n407195,Q9HCK5,1
n381280,P31483,1
n386260,Q9HCE1,1
n387016,Q07955,1
n379212,P31483,1
n346535,Q86X94,1
n380399,Q9UKV8,1
n367661,Q49AS9,1
n384754,Q15717,1
n372953,Q15717,1
n380064,O00425,1
n363337,Q07955,1
n406409,O00425,1
n382511,Q9HCE1,1
n345386,Q9HCE1,1
n405912,O00425,1
n370618,Q86X94,1
n381022,P26599,1
n410153,Q15717,1
n345386,Q86X94,1
n369419,Q49AS9,1
n409115,Q07955,1
n406488,Q15717,1
n344793,Q15717,1
n381280,Q13148,1
n405504,Q9UKV8,1
n409707,Q9NZI8,1
n344547,P35637,1
n378100,Q15717,1
n387265,Q9Y6M1,1
n379850,Q07955,1
n381623,P26599,1
n345580,Q13148,1
n344965,P26599,1
n385729,B7ZL34,1
n386328,Q13148,1
n346238,O00425,1
n380714,Q9UKV8,1
n377170,Q15717,1
n405665,Q01844,1
n385730,Q01844,1
n385729,Q49AS9,1
n345574,Q13148,1
n345044,Q49AS9,1
n377236,P31483,1
n406277,Q07955,1
n385511,Q01844,1
n385822,Q15717,1
n345395,P35637,1
n346188,P26599,1
n345455,P26599,1
n385291,Q15717,1
n407257,Q9HCE1,1
n367775,Q07955,1
n346535,Q9HCE1,1
n344534,Q9UKV8,1
n344720,Q49AS9,1
n381789,Q13148,1
n383186,Q9UKV8,1
n363351,Q15717,1
n379281,P35637,1
n370180,Q15717,1
n344569,Q13148,1
n383265,Q13148,1
n345006,P35637,1
n345707,Q07955,1
n382184,Q15717,1
n377932,Q15717,1
n346533,Q9NZI8,1
n386034,Q15717,1
n377799,P31483,1
n405982,Q07955,1
n384996,Q49AS9,1
n344659,B7ZL34,1
n383080,Q9NZI8,1
n345685,Q07955,1
n381057,Q9Y6M1,1
n344461,Q13148,1
n386682,Q15717,1
n386682,P31483,1
n386539,Q15717,1
n381846,B7ZL34,1
n345170,Q01844,1
n344885,Q15717,1
n409519,Q49AS9,1
n379129,Q13148,1
n386691,Q07955,1
n381557,Q9HCE1,1
n409320,Q15717,1
n407573,Q96PU8,1
n385468,Q49AS9,1
n384209,Q49AS9,1
n374520,O00425,1
n405614,Q15717,1
n379107,P26599,1
n387063,Q86X94,1
n345138,Q15717,1
n408354,Q15717,1
n383718,P26599,1
n386025,Q49AS9,1
n344931,Q9NZI8,1
n345304,O00425,1
n385261,Q15717,1
n385729,O00425,1
n381280,Q9HCE1,1
n367646,Q15717,1
n384234,Q15717,1
n379122,Q9NZI8,1
n370849,Q15717,1
n408116,Q01844,1
n346528,Q9UL18,1
n346528,Q9UKV8,1
n346528,Q9H9G7,1
n346528,Q9HCK5,1
n344741,Q9Y6M1,1
n407550,Q9Y6M1,1
n346101,Q49AS9,1
n383076,Q07955,1
n379480,Q15717,1
n344720,Q15717,1
n345248,Q15717,1
n344916,P35637,1
n406336,Q15717,1
n408895,Q07955,1
n410042,Q15717,1
n344941,Q13148,1
n385519,Q9NZI8,1
n384936,Q9UL18,1
n384936,Q9UKV8,1
n384936,Q9H9G7,1
n384936,Q9HCK5,1
n384332,Q15717,1
n382094,O43251,1
n381323,B7ZL34,1
n406900,Q9UKV8,1
n381375,Q07955,1
n407283,Q07955,1
n410722,O00425,1
n377788,P31483,1
n364139,P31483,1
n382930,Q15717,1
n406134,Q15717,1
n367422,P31483,1
n378063,Q07955,1
n381057,Q01844,1
n377660,Q07955,1
n381200,Q15717,1
n378782,Q49AS9,1
n409707,Q15717,1
n345457,Q15717,1
n345458,Q9Y6M1,1
n384686,O00425,1
n405691,Q07955,1
n372674,Q15717,1
n385822,Q9UKV8,1
n368044,P35637,1
n405993,Q15717,1
n346116,Q07955,1
n344755,Q49AS9,1
n405487,Q9Y6M1,1
n344687,P35637,1
n377214,P35637,1
n381430,Q9UKV8,1
n410105,Q9NZI8,1
n346533,Q9Y6M1,1
n381846,Q9Y6M1,1
n367887,Q9UKV8,1
n346041,Q07955,1
n384858,Q13148,1
n378478,P35637,1
n345647,Q15717,1
n408241,Q07955,1
n344530,Q15717,1
n383634,Q15717,1
n385130,P35637,1
n384605,O00425,1
n386492,Q49AS9,1
n375526,P31483,1
n410191,Q9NZI8,1
n379841,Q15717,1
n381979,Q07955,1
n366714,Q01844,1
n345574,Q9Y6M1,1
n382553,Q49AS9,1
n383747,P35637,1
n385667,Q15717,1
n385059,Q15717,1
n382502,Q15717,1
n344996,Q9UL18,1
n344996,Q9UKV8,1
n344996,Q9H9G7,1
n344996,Q9HCK5,1
n384655,Q15717,1
n344745,Q49AS9,1
n383556,O00425,1
n345670,P35637,1
n386110,Q07955,1
n382927,Q07955,1
n377707,Q07955,1
n368447,P31483,1
n407163,Q07955,1
n408071,Q07955,1
n345781,P31483,1
n410161,Q15717,1
n344748,Q9UL18,1
n344748,Q9UKV8,1
n344748,Q9H9G7,1
n344748,Q9HCK5,1
n407749,Q49AS9,1
n344778,P26599,1
n407887,Q49AS9,1
n378714,O00425,1
n386231,Q15717,1
n344656,Q9NZI8,1
n374660,Q49AS9,1
n384936,Q15717,1
n407721,P35637,1
n409084,P31483,1
n381409,Q15717,1
n385240,Q07955,1
n344627,P35637,1
n381509,Q15717,1
n385210,Q49AS9,1
n346186,P31483,1
n406480,Q15717,1
n384720,Q15717,1
n379718,Q15717,1
n405569,Q9Y6M1,1
n384936,Q15717,1
n382094,Q49AS9,1
n410671,Q86X94,1
n344741,P35637,1
n344530,Q9UKV8,1
n344871,Q9Y6M1,1
n381430,Q9NZI8,1
n382015,Q15717,1
n386332,Q9HCE1,1
n369769,Q07955,1
n383236,Q9UKV8,1
n381344,Q9Y6M1,1
n407249,Q07955,1
n386025,Q9UKV8,1
n346535,Q15717,1
n407311,Q86X94,1
n379340,Q9NZI8,1
n406145,Q49AS9,1
n375683,Q15717,1
n385947,Q13148,1
n346545,Q49AS9,1
n385512,O00425,1
n410638,P35637,1
n365737,Q9NZI8,1
n344678,Q49AS9,1
n345934,Q49AS9,1
n345449,Q8NDV7,1
