interID,ncID,ncType,ncIdentifier,ncName,PartnerID,prType,prIdentifier,InteractionPartner,interDescription,experiment,pubmed,organism,tag,interClass,interLevel,NONCODETranscriptID
ncRI-199556,16426,NONCODE,n386623,RPI001_920445,18387,UniProt,Q07955,SRSF1,"Cross-linking immunoprecipitation and high-throughput sequencing (CLIP-seq) identified binding sites for SFRS1 in the transcriptome of cultured human embryonic kidney cells. SFRS1 was found to engage many different classes of functionally distinct transcripts including mRNA, miRNA, snoRNAs, ncRNAs, and conserved intergenic transcripts of unknown function.",CLIP-seq,19116412,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT012864.2
ncRI-188304,11160,NONCODE,n343050,RPI001_100097,8360,UniProt,Q9HCE1,MOV10,A modified PAR-CLIP method applied to the nuclear fraction of HEK293 cells identifies high confidence interaction sites providing a faithful representation of the MOV10 binding profile.,modified PAR-CLIP,22844102,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT084827.2
ncRI-192633,12013,NONCODE,n407114,RPI001_182337,3988,UniProt,Q01844,EWSR1,PAR-CLIP defined global RNA targets for all human FET proteins and two ALS-causing human FUS mutants.,PAR-CLIP,22081015,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT091509.2
ncRI-191389,11713,NONCODE,n408119,RPI001_114723,515,UniProt,Q9UL18,AGO1-4,PAR-CLIP of combined AGO1-4 indicates the noncoding transcript as binding site of AGOs.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-191389,11713,NONCODE,n408119,RPI001_114723,515,UniProt, Q9UKV8,AGO1-4,PAR-CLIP of combined AGO1-4 indicates the noncoding transcript as binding site of AGOs.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-191389,11713,NONCODE,n408119,RPI001_114723,515,UniProt, Q9H9G7,AGO1-4,PAR-CLIP of combined AGO1-4 indicates the noncoding transcript as binding site of AGOs.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-191389,11713,NONCODE,n408119,RPI001_114723,515,UniProt, Q9HCK5,AGO1-4,PAR-CLIP of combined AGO1-4 indicates the noncoding transcript as binding site of AGOs.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-189844,11397,NONCODE,n379442,RPI001_1019725,3564,UniProt,Q15717,ELAVL1,"HuR  regulates the stability and translation of their target mRNAs. HuR targets in noncoding region are identified using independent high-throughout approaches including PAR-CLIP, RIP-chip and RNAi.","Integration of RIP-chip, PAR-CLIP and RNAi",21723170,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT066046.2
ncRI-189800,11389,NONCODE,n387060,RPI001_1019071,10434,UniProt,B7ZL34,PUM2,PAR-CLIP of PUM2 indicates the noncoding transcript as binding site.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT060501.2
ncRI-191969,11834,NONCODE,n385240,RPI001_135458,6272,UniProt,Q9NZI8,IGF2BP1,PAR-CLIP of IGF2BP1 indicates the noncoding transcript as binding sites.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT122160.2
ncRI-192857,12088,NONCODE,n342856,RPI001_199092,18387,UniProt,Q07955,SRSF1,"Cross-linking immunoprecipitation and high-throughput sequencing (CLIP-seq) identified binding sites for SFRS1 in the transcriptome of cultured human embryonic kidney cells. SFRS1 was found to engage many different classes of functionally distinct transcripts including mRNA, miRNA, snoRNAs, ncRNAs, and conserved intergenic transcripts of unknown function.",CLIP-seq,19116412,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT130782.2
ncRI-189055,11274,NONCODE,n341044,RPI001_1008932,3564,UniProt,Q15717,ELAVL1,"HuR  regulates the stability and translation of their target mRNAs. HuR targets in noncoding region are identified using independent high-throughout approaches including PAR-CLIP, RIP-chip and RNAi.","Integration of RIP-chip, PAR-CLIP and RNAi",21723170,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT021830.2
ncRI-200010,16830,NONCODE,n342205,RPI001_977114,3564,UniProt,Q15717,ELAVL1,PAR-CLIP identifies transcriptome-wide binding sites of ELAVL1 under Mnase treated condition.,PAR-CLIP,21572407,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT000159.2
ncRI-196319,13755,NONCODE,n376979,RPI001_48610,10351,UniProt,P26599,PTBP1,"PTB is a well-characterized splicing repressor. CLIP-seq identifies direct RNA targets for PTB in HeLa cells, finding that PTB bound to multiple regions, regardless of whether the site is subject to regulation.",CLIP-seq,20064465,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT081862.2
ncRI-193017,12156,NONCODE,n410189,RPI001_235098,6276,UniProt,O00425,IGF2BP3,PAR-CLIP of IGF2BP3 indicates the noncoding transcript as binding sites.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-189456,11334,NONCODE,n382231,RPI001_1014902,4621,UniProt,P35637,FUS_mutant,PAR-CLIP defined global RNA targets for all human FET proteins and two ALS-causing human FUS mutants.,PAR-CLIP,22081015,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT039675.2
ncRI-190228,11472,NONCODE,n344775,RPI001_1027173,4621,UniProt,P35637,FUS_mutant,PAR-CLIP defined global RNA targets for all human FET proteins and two ALS-causing human FUS mutants.,PAR-CLIP,22081015,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
