n344453	NONHSAT044059.2
n344454	NONHSAT140501.2
n344455	NONHSAT030943.2
n344457	NONHSAT049673.2
n344460	NONHSAT119864.2
n344461	NONHSAT070239.2
n344462	NONHSAT133286.2
n344472	NA
n344478	NONHSAT039751.2
n344488	NONHSAT140676.2
n344490	NONHSAT056108.2
n344496	NONHSAT026404.2
n344497	NONHSAT030092.2
n344500	NONHSAT137990.2
n344503	NONHSAT037936.2
n344508	NA
n344514	NONHSAT001463.2
n344517	NONHSAT010722.2
n344528	NONHSAT120219.2
n344530	NA
n344531	NONHSAT027516.2
n344534	NA
n344535	NA
n344538	NONHSAT013639.2
n344540	NONHSAT138966.2
n344541	NONHSAT032056.2
n344547	NONHSAT137571.2
n344551	NONHSAT121236.2
n344552	NONHSAT040980.2
n344559	NONHSAT055363.2
n344563	NA
n344569	NONHSAT081842.2
n344574	NONHSAT054162.2
n344578	NONHSAT138743.2
n344585	NONHSAT029869.2
n344588	NONHSAT082414.2
n344589	NONHSAT000786.2
n344598	NONHSAT143568.2
n344601	NONHSAT057058.2
n344604	NONHSAT137607.2
n344610	NONHSAT012889.2
n344612	NONHSAT101244.2
n344618	NA
n344621	NA
n344627	NONHSAT081501.2
n344628	NONHSAT075170.2
n344638	NONHSAT112460.2
n344644	NONHSAT105199.2
n344646	NONHSAT138537.2
n344649	NONHSAT102797.2
n344651	NONHSAT073620.2
n344652	NONHSAT115288.2
n344653	NONHSAT004544.2
n344656	NONHSAT084534.2
n344658	NONHSAT120418.2
n344659	NONHSAT001511.2
n344662	NA
n344664	NONHSAT063977.2
n344667	NONHSAT115209.2
n344675	NONHSAT124972.2
n344677	NONHSAT129049.2
n344678	NONHSAT113497.2
n344679	NONHSAT055687.2
n344687	NA
n344691	NONHSAT033797.2
n344693	NONHSAT095799.2
n344695	NONHSAT129264.2
n344699	NONHSAT054253.2
n344701	NONHSAT070568.2
n344703	NONHSAT075981.2
n344705	NONHSAT121098.2
n344709	NONHSAT129017.2
n344711	NA
n344719	NONHSAT113194.2
n344720	NA
n344721	NONHSAT120000.2
n344724	NONHSAT031461.2
n344726	NONHSAT079364.2
n344736	NONHSAT136803.2
n344741	NONHSAT122815.2
n344745	NONHSAT142612.2
n344748	NA
n344749	NONHSAT074964.2
n344755	NONHSAT119880.2
n344758	NA
n344760	NONHSAT138620.2
n344766	NONHSAT039582.2
n344768	NONHSAT138547.2
n344771	NONHSAT036563.2
n344772	NONHSAT130429.2
n344775	NA
n344778	NONHSAT041921.2
n344791	NONHSAT047863.2
n344793	NONHSAT100798.2
n344798	NONHSAT084423.2
n344799	NONHSAT093648.2
n344800	NONHSAT043887.2
n344803	NONHSAT063988.2
n344805	NONHSAT033438.2
n344807	NONHSAT096372.2
n344808	NONHSAT033822.2
n344810	NONHSAT094182.2
n344814	NA
n344817	NONHSAT003530.2
n344818	NONHSAT125946.2
n344848	NONHSAT103600.2
n344860	NA
n344861	NONHSAT104695.2
n344868	NONHSAT107501.2
n344871	NONHSAT112119.2
n344872	NONHSAT112843.2
n344875	NONHSAT114476.2
n344880	NONHSAT115734.2
n344885	NONHSAT107262.2
n344894	NONHSAT108627.2
n344899	NA
n344907	NONHSAT113257.2
n344909	NONHSAT113545.2
n344916	NONHSAT113844.2
n344924	NONHSAT114816.2
n344930	NONHSAT115568.2
n344931	NONHSAT115641.2
n344934	NONHSAT116067.2
n344939	NONHSAT121283.2
n344940	NONHSAT122011.2
n344941	NONHSAT118917.2
n344943	NONHSAT119135.2
n344949	NONHSAT119655.2
n344957	NONHSAT121221.2
n344958	NONHSAT121669.2
n344960	NONHSAT121718.2
n344963	NONHSAT122593.2
n344965	NONHSAT122633.2
n344971	NONHSAT123136.2
