PrId,nncid,interaction
Q13148,n121,1
Q9HCE1,n127,1
P35637,n1315,1
Q01844,n1315,1
Q13148,n1315,1
Q49AS9,n1315,1
Q9NY12,n1315,1
Q9UKC9,n1315,1
Q13148,n1868,1
B7ZL34,n199030,1
O00425,n199030,1
P26599,n199030,1
Q13148,n199030,1
Q8NDV7,n199030,1
Q9NZI8,n199030,1
Q9UKV8,n199030,1
Q9UL18,n199030,1
Q13148,n203786,1
Q49AS9,n203786,1
Q9HCE1,n203786,1
P26599,n2060,1
Q01844,n2060,1
Q13148,n2060,1
Q49AS9,n2060,1
Q13148,n243,1
A0PJ92,n309,1
O00566,n309,1
O43818,n309,1
P05455,n309,1
P19338,n309,1
Q96G21,n309,1
Q96RS0,n309,1
Q9NV31,n309,1
Q9UKC9,n309,1
Q9Y2X3,n309,1
Q15717,n323814,1
Q15717,n323827,1
O00425,n323867,1
Q9Y6M1,n323867,1
Q07955,n323889,1
Q15717,n323949,1
Q15717,n323950,1
Q15717,n323955,1
Q15717,n323967,1
O00425,n323992,1
Q15717,n323992,1
Q96PU8,n323992,1
Q9NZI8,n323992,1
Q9UKV8,n323992,1
Q9UL18,n323992,1
Q9Y6M1,n323992,1
Q15717,n324039,1
Q13148,n324048,1
Q15717,n324236,1
P26599,n324330,1
Q15717,n324359,1
Q15717,n324480,1
Q13148,n324559,1
Q15717,n324559,1
Q96PU8,n324559,1
P26599,n324603,1
P26599,n324635,1
Q13148,n324691,1
Q13148,n324778,1
P35637,n324796,1
Q15717,n324803,1
Q49AS9,n324918,1
Q13148,n324942,1
Q15717,n325017,1
Q49AS9,n325043,1
Q13148,n325109,1
Q15717,n325110,1
Q9Y6M1,n325141,1
Q13148,n325160,1
Q15717,n325173,1
P35637,n325244,1
Q13148,n325252,1
Q15717,n325292,1
Q13148,n325441,1
Q13148,n325490,1
Q15717,n325523,1
Q15717,n325544,1
Q07955,n325593,1
Q07955,n325594,1
Q9NZI8,n325618,1
Q13148,n325625,1
Q49AS9,n325630,1
P26599,n325646,1
Q13148,n325646,1
Q15717,n325653,1
Q15717,n325657,1
Q15717,n325730,1
P31483,n325854,1
Q07955,n325936,1
Q13148,n325950,1
Q13148,n326086,1
Q13148,n326143,1
Q15717,n326145,1
Q15717,n326148,1
Q15717,n326151,1
P35637,n326182,1
P35637,n326183,1
Q13148,n326183,1
P35637,n326195,1
Q13148,n326195,1
Q15717,n326195,1
Q15717,n326197,1
Q15717,n326203,1
Q13148,n326264,1
Q13148,n326269,1
Q13148,n326309,1
Q15717,n326329,1
P26599,n326351,1
Q07955,n326457,1
P35637,n326477,1
Q01844,n326477,1
Q15717,n326477,1
Q49AS9,n326477,1
P26599,n326561,1
Q15717,n326561,1
Q15717,n326601,1
Q13148,n326651,1
Q13148,n326668,1
Q07955,n326762,1
Q01844,n328167,1
Q07955,n328167,1
Q13148,n328167,1
Q49AS9,n328167,1
P35637,n328168,1
Q01844,n328168,1
Q13148,n328168,1
Q49AS9,n328168,1
O15116,n328253,1
O43447,n328253,1
O95777,n328253,1
P05455,n328253,1
P07910,n328253,1
P17980,n328253,1
P55769,n328253,1
P62310,n328253,1
P62312,n328253,1
Q9UK45,n328253,1
Q9Y333,n328253,1
Q9Y4Y9,n328253,1
Q9Y4Z0,n328253,1
Q9Y6Y0,n328253,1
Q01844,n328264,1
Q13148,n328264,1
Q07955,n332381,1
Q9UKV8,n332454,1
Q9UL18,n332454,1
P26599,n332501,1
Q9Y6M1,n332501,1
Q49AS9,n332578,1
P31483,n332579,1
O00425,n332606,1
Q13148,n332606,1
Q15717,n332606,1
O00425,n332636,1
P35637,n332636,1
Q13148,n332636,1
Q8NDV7,n332636,1
Q96PU8,n332636,1
Q9NZI8,n332636,1
Q9Y6M1,n332636,1
Q15717,n332853,1
P31483,n332877,1
O00425,n332900,1
O00425,n332918,1
P35637,n332918,1
Q15717,n332918,1
Q13148,n332922,1
Q07955,n333015,1
Q9Y6M1,n333015,1
P31483,n333358,1
P35637,n333358,1
Q01844,n333358,1
Q13148,n333358,1
Q15717,n333358,1
Q49AS9,n333358,1
P26599,n333410,1
P31483,n333422,1
Q15717,n333422,1
O00425,n333428,1
P31483,n333428,1
P35637,n333428,1
Q01844,n333428,1
Q13148,n333428,1
Q15717,n333428,1
Q49AS9,n333428,1
Q8NDV7,n333428,1
Q96PU8,n333428,1
Q9NZI8,n333428,1
Q9UKV8,n333428,1
