,ncIdentifier,prIdentifier,interaction
0,n346535,Q86X94,1
1,n344793,Q15717,1
2,n344547,P35637,1
3,n345580,Q13148,1
4,n344965,P26599,1
5,n345574,Q13148,1
6,n345044,Q49AS9,1
7,n345395,P35637,1
8,n346188,P26599,1
9,n345455,P26599,1
10,n346535,Q9HCE1,1
11,n344569,Q13148,1
12,n345006,P35637,1
13,n345707,Q07955,1
14,n346533,Q9NZI8,1
15,n344659,B7ZL34,1
16,n344461,Q13148,1
17,n345170,Q01844,1
18,n344885,Q15717,1
19,n345138,Q15717,1
20,n344931,Q9NZI8,1
21,n345304,O00425,1
22,n344741,Q9Y6M1,1
23,n346101,Q49AS9,1
24,n345248,Q15717,1
25,n344916,P35637,1
26,n344941,Q13148,1
27,n345457,Q15717,1
28,n345458,Q9Y6M1,1
29,n344755,Q49AS9,1
30,n346533,Q9Y6M1,1
31,n346041,Q07955,1
32,n345647,Q15717,1
33,n345574,Q9Y6M1,1
34,n344996,Q9UL18,1
35,n344745,Q49AS9,1
36,n345670,P35637,1
37,n345781,P31483,1
38,n344778,P26599,1
39,n344656,Q9NZI8,1
40,n344627,P35637,1
41,n344741,P35637,1
42,n344871,Q9Y6M1,1
43,n346535,Q15717,1
44,n346545,Q49AS9,1
45,n344678,Q49AS9,1
46,n345449,Q8NDV7,1
47,n344659,Q9HCE1,1
48,n344574,Q49AS9,1
49,n344808,O00425,1
50,n345473,Q15717,1
51,n344741,Q9NZI8,1
52,n345059,Q15717,1
53,n346398,Q9NZI8,1
54,n345630,Q49AS9,1
55,n345421,Q15717,1
56,n344517,Q49AS9,1
57,n346404,P26599,1
58,n344659,Q01844,1
59,n344574,O00425,1
60,n344540,O43251,1
61,n344658,Q07955,1
62,n346227,Q07955,1
63,n345322,Q13148,1
64,n345777,Q9NZI8,1
65,n346167,O00425,1
66,n345433,P31483,1
67,n344778,Q9UKV8,1
68,n344808,Q9Y6M1,1
69,n345666,P35637,1
70,n344960,O00425,1
71,n344709,Q9Y6M1,1
72,n345070,Q07955,1
73,n345277,Q9UL18,1
74,n344778,Q15717,1
75,n344490,Q9UKV8,1
76,n346545,Q07955,1
77,n346430,Q15717,1
78,n344547,Q9UKV8,1
79,n345751,P26599,1
80,n345653,B7ZL34,1
81,n345138,P35637,1
82,n344604,P26599,1
83,n345385,Q9Y6M1,1
84,n345255,O00425,1
85,n345105,Q15717,1
86,n345424,P26599,1
87,n345385,O00425,1
88,n346398,Q15717,1
89,n346537,Q9Y6M1,1
90,n344778,Q15717,1
91,n345040,P35637,1
92,n344457,Q9UL18,1
93,n345618,Q13148,1
94,n345568,O00425,1
95,n344778,Q49AS9,1
96,n344653,Q9Y6M1,1
97,n345046,Q13148,1
98,n345474,Q15717,1
99,n344693,P35637,1
100,n346356,Q49AS9,1
101,n345260,O00425,1
102,n345653,O00425,1
103,n344771,Q13148,1
