,ncIdentifier,prIdentifier,interaction
0,n386623,Q07955,1
1,n407114,Q01844,1
2,n408119,Q9UL18,1
3,n408119,Q9UKV8,1
4,n408119,Q9H9G7,1
5,n408119,Q9HCK5,1
6,n379442,Q15717,1
7,n387060,B7ZL34,1
8,n385240,Q9NZI8,1
9,n376979,P26599,1
10,n410189,O00425,1
11,n382231,P35637,1
12,n344775,P35637,1
13,n407195,Q9UL18,1
14,n407195,Q9UKV8,1
15,n407195,Q9H9G7,1
16,n407195,Q9HCK5,1
17,n381280,P31483,1
18,n386260,Q9HCE1,1
19,n387016,Q07955,1
20,n379212,P31483,1
21,n346535,Q86X94,1
22,n380399,Q9UKV8,1
23,n367661,Q49AS9,1
24,n384754,Q15717,1
25,n372953,Q15717,1
26,n380064,O00425,1
27,n363337,Q07955,1
28,n406409,O00425,1
29,n382511,Q9HCE1,1
30,n345386,Q9HCE1,1
31,n405912,O00425,1
32,n370618,Q86X94,1
33,n381022,P26599,1
34,n410153,Q15717,1
35,n345386,Q86X94,1
36,n369419,Q49AS9,1
37,n409115,Q07955,1
38,n406488,Q15717,1
39,n344793,Q15717,1
40,n381280,Q13148,1
41,n405504,Q9UKV8,1
42,n409707,Q9NZI8,1
43,n344547,P35637,1
44,n378100,Q15717,1
45,n387265,Q9Y6M1,1
46,n379850,Q07955,1
47,n381623,P26599,1
48,n345580,Q13148,1
49,n344965,P26599,1
50,n385729,B7ZL34,1
51,n386328,Q13148,1
52,n346238,O00425,1
53,n380714,Q9UKV8,1
54,n377170,Q15717,1
55,n405665,Q01844,1
56,n385730,Q01844,1
57,n385729,Q49AS9,1
58,n345574,Q13148,1
59,n345044,Q49AS9,1
60,n377236,P31483,1
61,n406277,Q07955,1
62,n385511,Q01844,1
63,n385822,Q15717,1
64,n345395,P35637,1
65,n346188,P26599,1
66,n345455,P26599,1
67,n385291,Q15717,1
68,n407257,Q9HCE1,1
69,n367775,Q07955,1
70,n346535,Q9HCE1,1
71,n344534,Q9UKV8,1
72,n344720,Q49AS9,1
73,n381789,Q13148,1
74,n383186,Q9UKV8,1
75,n363351,Q15717,1
76,n379281,P35637,1
77,n370180,Q15717,1
78,n344569,Q13148,1
79,n383265,Q13148,1
80,n345006,P35637,1
81,n345707,Q07955,1
82,n382184,Q15717,1
83,n377932,Q15717,1
84,n346533,Q9NZI8,1
85,n386034,Q15717,1
86,n377799,P31483,1
87,n405982,Q07955,1
88,n384996,Q49AS9,1
89,n344659,B7ZL34,1
90,n383080,Q9NZI8,1
91,n345685,Q07955,1
92,n381057,Q9Y6M1,1
93,n344461,Q13148,1
94,n386682,Q15717,1
95,n386682,P31483,1
96,n386539,Q15717,1
97,n381846,B7ZL34,1
98,n345170,Q01844,1
99,n344885,Q15717,1
100,n409519,Q49AS9,1
101,n379129,Q13148,1
102,n386691,Q07955,1
103,n381557,Q9HCE1,1
104,n409320,Q15717,1
105,n407573,Q96PU8,1
106,n385468,Q49AS9,1
107,n384209,Q49AS9,1
108,n374520,O00425,1
109,n405614,Q15717,1
110,n379107,P26599,1
111,n387063,Q86X94,1
112,n345138,Q15717,1
113,n408354,Q15717,1
114,n383718,P26599,1
115,n386025,Q49AS9,1
116,n344931,Q9NZI8,1
117,n345304,O00425,1
118,n385261,Q15717,1
119,n385729,O00425,1
120,n381280,Q9HCE1,1
121,n367646,Q15717,1
122,n384234,Q15717,1
123,n379122,Q9NZI8,1
124,n370849,Q15717,1
125,n408116,Q01844,1
126,n346528,Q9UL18,1
127,n346528,Q9UKV8,1
128,n346528,Q9H9G7,1
129,n346528,Q9HCK5,1
130,n344741,Q9Y6M1,1
131,n407550,Q9Y6M1,1
132,n346101,Q49AS9,1
133,n383076,Q07955,1
134,n379480,Q15717,1
135,n344720,Q15717,1
136,n345248,Q15717,1
137,n344916,P35637,1
138,n406336,Q15717,1
139,n408895,Q07955,1
140,n410042,Q15717,1
141,n344941,Q13148,1
142,n385519,Q9NZI8,1
143,n384936,Q9UL18,1
144,n384936,Q9UKV8,1
145,n384936,Q9H9G7,1
146,n384936,Q9HCK5,1
147,n384332,Q15717,1
148,n382094,O43251,1
149,n381323,B7ZL34,1
150,n406900,Q9UKV8,1
151,n381375,Q07955,1
152,n407283,Q07955,1
153,n410722,O00425,1
154,n377788,P31483,1
155,n364139,P31483,1
156,n382930,Q15717,1
157,n406134,Q15717,1
158,n367422,P31483,1
159,n378063,Q07955,1
160,n381057,Q01844,1
161,n377660,Q07955,1
162,n381200,Q15717,1
163,n378782,Q49AS9,1
164,n409707,Q15717,1
165,n345457,Q15717,1
166,n345458,Q9Y6M1,1
167,n384686,O00425,1
168,n405691,Q07955,1
169,n372674,Q15717,1
170,n385822,Q9UKV8,1
171,n368044,P35637,1
172,n405993,Q15717,1
173,n346116,Q07955,1
174,n344755,Q49AS9,1
175,n405487,Q9Y6M1,1
176,n344687,P35637,1
177,n377214,P35637,1
178,n381430,Q9UKV8,1
179,n410105,Q9NZI8,1
180,n346533,Q9Y6M1,1
181,n381846,Q9Y6M1,1
182,n367887,Q9UKV8,1
183,n346041,Q07955,1
184,n384858,Q13148,1
185,n378478,P35637,1
186,n345647,Q15717,1
187,n408241,Q07955,1
188,n344530,Q15717,1
189,n383634,Q15717,1
190,n385130,P35637,1
191,n384605,O00425,1
192,n386492,Q49AS9,1
