Query_Seq_ID,Target_Seq_ID,Align_Score,Normalize_Score,Identity,Similarity
Q9UPQ9,Q13148,118.5,0.02,24.11%,34.11%
Q9UPQ9,P08579,73.0,0.02,24.76%,36.19%
Q9UPQ9,O14746,81.5,0.01,21.54%,31.49%
Q9UPQ9,Q9UHB9,59.0,0.01,30.00%,51.66%
Q9UPQ9,O75940,67.0,0.01,21.66%,31.25%
Q9UPQ9,P49458,27.5,0.01,29.16%,41.66%
Q9UPQ9,P37108,49.0,0.01,30.76%,43.58%
Q9UPQ9,P61011,60.5,0.01,29.03%,47.31%
Q9UPQ9,Q96RS0,107.5,0.01,18.70%,33.03%
Q9UPQ9,P42224,83.0,0.01,19.96%,31.31%
Q9UPQ9,O43818,77.5,0.01,21.45%,31.63%
Q9UPQ9,P10155,46.5,0.00,22.68%,30.25%
Q9UPQ9,Q9H633,43.0,0.01,29.03%,50.00%
Q9UPQ9,P19474,60.5,0.01,26.73%,35.64%
Q9UPQ9,O95707,51.5,0.01,29.09%,49.09%
Q9UPQ9,P78345,47.0,0.01,35.13%,54.05%
Q9UPQ9,P37231,56.5,0.01,22.29%,36.30%
Q9UPQ9,O43251,98.0,0.02,19.94%,30.05%
Q9UPQ9,P35268,31.0,0.01,19.76%,45.34%
Q9UPQ9,P17735,48.0,0.00,20.27%,33.10%
Q9UPQ9,O95931,79.0,0.02,24.02%,39.10%
Q9UPQ9,Q9NVP2,50.5,0.01,24.48%,32.65%
Q9UPQ9,Q9BUQ8,58.0,0.00,32.55%,55.81%
Q9UPQ9,Q92841,113.5,0.01,23.10%,33.33%
Q9UPQ9,P17844,74.5,0.01,21.00%,31.93%
Q9UPQ9,Q8IUX4,36.5,0.00,28.57%,46.42%
Q9UPQ9,Q9HCK5,66.0,0.00,21.45%,30.90%
Q9UPQ9,Q9UL18,56.5,0.00,21.62%,31.53%
Q9UPQ9,Q9H9G7,73.0,0.01,23.95%,34.37%
Q9UPQ9,P19447,51.0,0.00,26.31%,40.78%
Q9UPQ9,P35637,209.0,0.03,21.67%,31.29%
Q9UPQ9,Q15910,84.5,0.01,20.14%,33.69%
Q9UPQ9,Q15717,63.0,0.01,17.08%,30.41%
Q9UPQ9,Q01844,167.5,0.02,21.72%,31.89%
Q9UPQ9,Q96AV8,115.5,0.01,19.90%,31.27%
Q9UPQ9,P49711,63.5,0.01,19.37%,33.33%
Q9UPQ9,P38432,135.0,0.02,19.92%,28.68%
Q9UPQ9,P52943,66.5,0.01,25.58%,34.10%
Q9UPQ9,Q9UKV8,57.5,0.00,33.96%,43.39%
Q9UPQ9,Q7L014,76.5,0.01,20.24%,32.38%
Q9UPQ9,Q06787,96.0,0.01,18.75%,31.97%
Q9UPQ9,P50750,47.5,0.01,23.95%,35.41%
Q9UPQ9,P55899,58.5,0.01,23.20%,35.91%
