Query_Seq_ID,Target_Seq_ID,Align_Score,Normalize_Score,Identity,Similarity
n344472,n344453,565.0,0.23,254/823 (30.9%),350/823 (42.5%)
n344453,n344472,565.0,0.23,254/823 (30.9%),350/823 (42.5%)
n344472,n344454,432.0,0.17,182/552 (33.0%),262/552 (47.5%)
n344454,n344472,432.0,0.17,182/552 (33.0%),262/552 (47.5%)
n344472,n344455,544.0,0.22,254/940 (27.0%),341/940 (36.3%)
n344455,n344472,544.0,0.22,254/940 (27.0%),341/940 (36.3%)
n344472,n344457,490.5,0.19,244/881 (27.7%),344/881 (39.0%)
n344457,n344472,490.5,0.19,244/881 (27.7%),344/881 (39.0%)
n344472,n344460,536.0,0.21,245/878 (27.9%),351/878 (40.0%)
n344460,n344472,536.0,0.21,245/878 (27.9%),351/878 (40.0%)
n344472,n344461,556.5,0.22,273/1033 (26.4%),369/1033 (35.7%)
n344461,n344472,556.5,0.22,273/1033 (26.4%),369/1033 (35.7%)
n344472,n344462,549.0,0.22,250/923 (27.1%),352/923 (38.1%)
n344462,n344472,549.0,0.22,250/923 (27.1%),352/923 (38.1%)
n344472,n344472,2455.0,1.00,361/491 (73.5%),491/491 (100.0%)
n344472,n344472,2455.0,1.00,361/491 (73.5%),491/491 (100.0%)
n344472,n344478,559.5,0.22,259/906 (28.6%),348/906 (38.4%)
n344478,n344472,559.5,0.22,259/906 (28.6%),348/906 (38.4%)
n344472,n344488,502.5,0.20,248/943 (26.3%),342/943 (36.3%)
n344488,n344472,502.5,0.20,248/943 (26.3%),342/943 (36.3%)
n344472,n344490,440.0,0.17,221/822 (26.9%),325/822 (39.5%)
n344490,n344472,440.0,0.17,221/822 (26.9%),325/822 (39.5%)
n344472,n344496,506.5,0.20,267/913 (29.2%),349/913 (38.2%)
n344496,n344472,506.5,0.20,267/913 (29.2%),349/913 (38.2%)
n344472,n344497,560.0,0.22,252/882 (28.6%),347/882 (39.3%)
n344497,n344472,560.0,0.22,252/882 (28.6%),347/882 (39.3%)
n344472,n344500,608.0,0.24,250/859 (29.1%),353/859 (41.1%)
n344500,n344472,608.0,0.24,250/859 (29.1%),353/859 (41.1%)
n344472,n344503,522.5,0.21,258/893 (28.9%),347/893 (38.9%)
n344503,n344472,522.5,0.21,258/893 (28.9%),347/893 (38.9%)
n344472,n344508,557.5,0.22,258/1060 (24.3%),360/1060 (34.0%)
n344508,n344472,557.5,0.22,258/1060 (24.3%),360/1060 (34.0%)
n344472,n344514,486.5,0.19,243/820 (29.6%),324/820 (39.5%)
n344514,n344472,486.5,0.19,243/820 (29.6%),324/820 (39.5%)
n344472,n344517,530.5,0.21,264/961 (27.5%),365/961 (38.0%)
n344517,n344472,530.5,0.21,264/961 (27.5%),365/961 (38.0%)
n344472,n344528,526.5,0.21,240/810 (29.6%),323/810 (39.9%)
n344528,n344472,526.5,0.21,240/810 (29.6%),323/810 (39.9%)
n344472,n344530,515.0,0.20,245/815 (30.1%),339/815 (41.6%)
n344530,n344472,515.0,0.20,245/815 (30.1%),339/815 (41.6%)
n344472,n344531,548.0,0.22,251/880 (28.5%),347/880 (39.4%)
n344531,n344472,548.0,0.22,251/880 (28.5%),347/880 (39.4%)
n344472,n344534,496.0,0.20,247/886 (27.9%),328/886 (37.0%)
n344534,n344472,496.0,0.20,247/886 (27.9%),328/886 (37.0%)
n344472,n344535,606.0,0.24,254/889 (28.6%),354/889 (39.8%)
n344535,n344472,606.0,0.24,254/889 (28.6%),354/889 (39.8%)
n344472,n344538,577.5,0.23,255/907 (28.1%),364/907 (40.1%)
n344538,n344472,577.5,0.23,255/907 (28.1%),364/907 (40.1%)
n344472,n344540,534.0,0.21,236/847 (27.9%),332/847 (39.2%)
n344540,n344472,534.0,0.21,236/847 (27.9%),332/847 (39.2%)
n344472,n344541,535.5,0.21,271/922 (29.4%),340/922 (36.9%)
n344541,n344472,535.5,0.21,271/922 (29.4%),340/922 (36.9%)
n344472,n344547,553.0,0.22,267/1016 (26.3%),363/1016 (35.7%)
n344547,n344472,553.0,0.22,267/1016 (26.3%),363/1016 (35.7%)
n344472,n344551,511.5,0.20,266/947 (28.1%),352/947 (37.2%)
n344551,n344472,511.5,0.20,266/947 (28.1%),352/947 (37.2%)
n344472,n344552,582.5,0.23,269/1040 (25.9%),382/1040 (36.7%)
n344552,n344472,582.5,0.23,269/1040 (25.9%),382/1040 (36.7%)
n344472,n344559,523.5,0.21,273/928 (29.4%),358/928 (38.6%)
n344559,n344472,523.5,0.21,273/928 (29.4%),358/928 (38.6%)
n344472,n344563,543.0,0.22,251/895 (28.0%),338/895 (37.8%)
n344563,n344472,543.0,0.22,251/895 (28.0%),338/895 (37.8%)
n344472,n344569,585.5,0.23,242/890 (27.2%),341/890 (38.3%)
n344569,n344472,585.5,0.23,242/890 (27.2%),341/890 (38.3%)
n344472,n344574,520.0,0.21,242/899 (26.9%),335/899 (37.3%)
n344574,n344472,520.0,0.21,242/899 (26.9%),335/899 (37.3%)
n344472,n344578,551.0,0.22,248/913 (27.2%),349/913 (38.2%)
n344578,n344472,551.0,0.22,248/913 (27.2%),349/913 (38.2%)
n344472,n344585,585.0,0.23,267/1028 (26.0%),373/1028 (36.3%)
n344585,n344472,585.0,0.23,267/1028 (26.0%),373/1028 (36.3%)
n344472,n344588,480.0,0.19,235/861 (27.3%),327/861 (38.0%)
n344588,n344472,480.0,0.19,235/861 (27.3%),327/861 (38.0%)
n344472,n344589,516.5,0.21,245/730 (33.6%),320/730 (43.8%)
n344589,n344472,516.5,0.21,245/730 (33.6%),320/730 (43.8%)
n344472,n344598,556.0,0.22,245/846 (29.0%),345/846 (40.8%)
n344598,n344472,556.0,0.22,245/846 (29.0%),345/846 (40.8%)
n344472,n344601,549.0,0.22,242/835 (29.0%),338/835 (40.5%)
n344601,n344472,549.0,0.22,242/835 (29.0%),338/835 (40.5%)
n344472,n344604,552.0,0.22,281/1120 (25.1%),382/1120 (34.1%)
n344604,n344472,552.0,0.22,281/1120 (25.1%),382/1120 (34.1%)
n344472,n344610,567.0,0.23,252/792 (31.8%),335/792 (42.3%)
n344610,n344472,567.0,0.23,252/792 (31.8%),335/792 (42.3%)
n344472,n344612,516.0,0.21,241/838 (28.8%),321/838 (38.3%)
n344612,n344472,516.0,0.21,241/838 (28.8%),321/838 (38.3%)
n344472,n344618,507.0,0.20,233/699 (33.3%),303/699 (43.3%)
n344618,n344472,507.0,0.20,233/699 (33.3%),303/699 (43.3%)
n344472,n344621,568.0,0.23,238/942 (25.3%),350/942 (37.2%)
n344621,n344472,568.0,0.23,238/942 (25.3%),350/942 (37.2%)
n344472,n344627,555.5,0.22,229/755 (30.3%),330/755 (43.7%)
n344627,n344472,555.5,0.22,229/755 (30.3%),330/755 (43.7%)
n344472,n344628,480.5,0.19,217/850 (25.5%),314/850 (36.9%)
n344628,n344472,480.5,0.19,217/850 (25.5%),314/850 (36.9%)
n344472,n344638,553.5,0.22,272/927 (29.3%),354/927 (38.2%)
n344638,n344472,553.5,0.22,272/927 (29.3%),354/927 (38.2%)
n344472,n344644,566.5,0.23,272/1014 (26.8%),367/1014 (36.2%)
n344644,n344472,566.5,0.23,272/1014 (26.8%),367/1014 (36.2%)
n344472,n344646,566.0,0.23,237/817 (29.0%),337/817 (41.2%)
n344646,n344472,566.0,0.23,237/817 (29.0%),337/817 (41.2%)
n344472,n344649,519.5,0.21,255/842 (30.3%),338/842 (40.1%)
n344649,n344472,519.5,0.21,255/842 (30.3%),338/842 (40.1%)
n344472,n344651,583.5,0.23,270/974 (27.7%),357/974 (36.7%)
n344651,n344472,583.5,0.23,270/974 (27.7%),357/974 (36.7%)
n344472,n344652,553.5,0.22,245/829 (29.6%),343/829 (41.4%)
n344652,n344472,553.5,0.22,245/829 (29.6%),343/829 (41.4%)
n344472,n344653,566.0,0.23,258/919 (28.1%),347/919 (37.8%)
n344653,n344472,566.0,0.23,258/919 (28.1%),347/919 (37.8%)
n344472,n344656,546.0,0.22,263/799 (32.9%),339/799 (42.4%)
n344656,n344472,546.0,0.22,263/799 (32.9%),339/799 (42.4%)
n344472,n344658,475.0,0.19,232/702 (33.0%),316/702 (45.0%)
n344658,n344472,475.0,0.19,232/702 (33.0%),316/702 (45.0%)
n344472,n344659,570.0,0.23,244/906 (26.9%),354/906 (39.1%)
n344659,n344472,570.0,0.23,244/906 (26.9%),354/906 (39.1%)
n344472,n344662,273.5,0.11,170/558 (30.5%),213/558 (38.2%)
n344662,n344472,273.5,0.11,170/558 (30.5%),213/558 (38.2%)
n344472,n344664,558.0,0.22,243/860 (28.3%),340/860 (39.5%)
n344664,n344472,558.0,0.22,243/860 (28.3%),340/860 (39.5%)
n344472,n344667,519.0,0.21,207/697 (29.7%),300/697 (43.0%)
n344667,n344472,519.0,0.21,207/697 (29.7%),300/697 (43.0%)
n344472,n344675,528.5,0.21,243/782 (31.1%),324/782 (41.4%)
n344675,n344472,528.5,0.21,243/782 (31.1%),324/782 (41.4%)
n344472,n344677,526.5,0.21,252/926 (27.2%),340/926 (36.7%)
n344677,n344472,526.5,0.21,252/926 (27.2%),340/926 (36.7%)
n344472,n344678,612.5,0.24,229/787 (29.1%),333/787 (42.3%)
n344678,n344472,612.5,0.24,229/787 (29.1%),333/787 (42.3%)
n344472,n344679,543.0,0.22,246/933 (26.4%),345/933 (37.0%)
n344679,n344472,543.0,0.22,246/933 (26.4%),345/933 (37.0%)
n344472,n344687,539.5,0.21,253/880 (28.8%),347/880 (39.4%)
n344687,n344472,539.5,0.21,253/880 (28.8%),347/880 (39.4%)
n344472,n344691,537.0,0.21,234/785 (29.8%),335/785 (42.7%)
n344691,n344472,537.0,0.21,234/785 (29.8%),335/785 (42.7%)
n344472,n344693,546.5,0.22,266/1124 (23.7%),370/1124 (32.9%)
n344693,n344472,546.5,0.22,266/1124 (23.7%),370/1124 (32.9%)
n344472,n344695,589.0,0.23,246/842 (29.2%),341/842 (40.5%)
n344695,n344472,589.0,0.23,246/842 (29.2%),341/842 (40.5%)
n344472,n344699,589.5,0.24,243/759 (32.0%),328/759 (43.2%)
n344699,n344472,589.5,0.24,243/759 (32.0%),328/759 (43.2%)
n344472,n344701,482.5,0.19,238/773 (30.8%),315/773 (40.8%)
n344701,n344472,482.5,0.19,238/773 (30.8%),315/773 (40.8%)
n344472,n344703,570.0,0.23,233/793 (29.4%),326/793 (41.1%)
n344703,n344472,570.0,0.23,233/793 (29.4%),326/793 (41.1%)
n344472,n344705,494.5,0.20,231/854 (27.0%),322/854 (37.7%)
n344705,n344472,494.5,0.20,231/854 (27.0%),322/854 (37.7%)
n344472,n344709,598.5,0.24,262/910 (28.8%),358/910 (39.3%)
n344709,n344472,598.5,0.24,262/910 (28.8%),358/910 (39.3%)
n344472,n344711,513.0,0.20,248/883 (28.1%),344/883 (39.0%)
n344711,n344472,513.0,0.20,248/883 (28.1%),344/883 (39.0%)
n344472,n344719,564.5,0.22,257/1027 (25.0%),358/1027 (34.9%)
n344719,n344472,564.5,0.22,257/1027 (25.0%),358/1027 (34.9%)
n344472,n344720,549.5,0.22,240/892 (26.9%),331/892 (37.1%)
n344720,n344472,549.5,0.22,240/892 (26.9%),331/892 (37.1%)
n344472,n344721,545.0,0.22,272/894 (30.4%),356/894 (39.8%)
n344721,n344472,545.0,0.22,272/894 (30.4%),356/894 (39.8%)
n344472,n344724,512.5,0.20,251/841 (29.8%),344/841 (40.9%)
n344724,n344472,512.5,0.20,251/841 (29.8%),344/841 (40.9%)
n344472,n344726,494.0,0.20,254/982 (25.9%),339/982 (34.5%)
n344726,n344472,494.0,0.20,254/982 (25.9%),339/982 (34.5%)
n344472,n344736,558.5,0.22,234/805 (29.1%),331/805 (41.1%)
n344736,n344472,558.5,0.22,234/805 (29.1%),331/805 (41.1%)
n344472,n344741,529.0,0.21,226/713 (31.7%),315/713 (44.2%)
n344741,n344472,529.0,0.21,226/713 (31.7%),315/713 (44.2%)
n344472,n344745,481.0,0.19,201/635 (31.7%),285/635 (44.9%)
n344745,n344472,481.0,0.19,201/635 (31.7%),285/635 (44.9%)
n344472,n344748,507.0,0.20,259/908 (28.5%),347/908 (38.2%)
n344748,n344472,507.0,0.20,259/908 (28.5%),347/908 (38.2%)
n344472,n344749,559.5,0.22,258/911 (28.3%),353/911 (38.7%)
n344749,n344472,559.5,0.22,258/911 (28.3%),353/911 (38.7%)
n344472,n344755,521.5,0.21,241/810 (29.8%),330/810 (40.7%)
n344755,n344472,521.5,0.21,241/810 (29.8%),330/810 (40.7%)
n344472,n344758,435.0,0.17,193/562 (34.3%),260/562 (46.3%)
n344758,n344472,435.0,0.17,193/562 (34.3%),260/562 (46.3%)
n344472,n344760,497.0,0.20,235/744 (31.6%),317/744 (42.6%)
n344760,n344472,497.0,0.20,235/744 (31.6%),317/744 (42.6%)
n344472,n344766,566.0,0.23,250/778 (32.1%),333/778 (42.8%)
n344766,n344472,566.0,0.23,250/778 (32.1%),333/778 (42.8%)
n344472,n344768,529.5,0.21,228/643 (35.5%),302/643 (47.0%)
n344768,n344472,529.5,0.21,228/643 (35.5%),302/643 (47.0%)
n344472,n344771,532.5,0.21,240/889 (27.0%),347/889 (39.0%)
n344771,n344472,532.5,0.21,240/889 (27.0%),347/889 (39.0%)
n344472,n344772,547.5,0.22,241/788 (30.6%),341/788 (43.3%)
n344772,n344472,547.5,0.22,241/788 (30.6%),341/788 (43.3%)
n344472,n344775,583.5,0.23,244/791 (30.8%),334/791 (42.2%)
n344775,n344472,583.5,0.23,244/791 (30.8%),334/791 (42.2%)
n344472,n344778,578.0,0.23,237/724 (32.7%),332/724 (45.9%)
n344778,n344472,578.0,0.23,237/724 (32.7%),332/724 (45.9%)
n344472,n344791,556.0,0.22,250/780 (32.1%),342/780 (43.8%)
n344791,n344472,556.0,0.22,250/780 (32.1%),342/780 (43.8%)
n344472,n344793,561.0,0.22,254/979 (25.9%),364/979 (37.2%)
n344793,n344472,561.0,0.22,254/979 (25.9%),364/979 (37.2%)
n344472,n344798,539.5,0.21,236/730 (32.3%),322/730 (44.1%)
n344798,n344472,539.5,0.21,236/730 (32.3%),322/730 (44.1%)
n344472,n344799,548.5,0.22,242/800 (30.2%),331/800 (41.4%)
n344799,n344472,548.5,0.22,242/800 (30.2%),331/800 (41.4%)
n344472,n344800,584.0,0.23,271/995 (27.2%),370/995 (37.2%)
n344800,n344472,584.0,0.23,271/995 (27.2%),370/995 (37.2%)
n344472,n344803,561.0,0.22,251/697 (36.0%),321/697 (46.1%)
n344803,n344472,561.0,0.22,251/697 (36.0%),321/697 (46.1%)
n344472,n344805,523.5,0.21,238/863 (27.6%),337/863 (39.0%)
n344805,n344472,523.5,0.21,238/863 (27.6%),337/863 (39.0%)
n344472,n344807,508.0,0.20,240/845 (28.4%),339/845 (40.1%)
n344807,n344472,508.0,0.20,240/845 (28.4%),339/845 (40.1%)
n344472,n344808,497.5,0.20,220/612 (35.9%),287/612 (46.9%)
n344808,n344472,497.5,0.20,220/612 (35.9%),287/612 (46.9%)
n344472,n344810,541.0,0.22,252/888 (28.4%),353/888 (39.8%)
n344810,n344472,541.0,0.22,252/888 (28.4%),353/888 (39.8%)
n344472,n344814,464.5,0.18,234/748 (31.3%),312/748 (41.7%)
n344814,n344472,464.5,0.18,234/748 (31.3%),312/748 (41.7%)
n344472,n344817,564.5,0.22,250/924 (27.1%),356/924 (38.5%)
n344817,n344472,564.5,0.22,250/924 (27.1%),356/924 (38.5%)
n344472,n344818,519.0,0.21,248/949 (26.1%),338/949 (35.6%)
n344818,n344472,519.0,0.21,248/949 (26.1%),338/949 (35.6%)
n344472,n344848,514.0,0.20,247/805 (30.7%),335/805 (41.6%)
n344848,n344472,514.0,0.20,247/805 (30.7%),335/805 (41.6%)
n344472,n344860,543.5,0.22,251/937 (26.8%),356/937 (38.0%)
n344860,n344472,543.5,0.22,251/937 (26.8%),356/937 (38.0%)
n344472,n344861,521.0,0.21,221/796 (27.8%),326/796 (41.0%)
n344861,n344472,521.0,0.21,221/796 (27.8%),326/796 (41.0%)
